m,lam,parity,Jstar,Jsize,mu,vpi,vpi_minus_mu,Mvec,valvec
13,6|6|6|5|2|1,1,5|7,2,17,21,4,141419632640|68534129664|33273816576|16186506752|7890569856|3854871488|1887509728|926331528|455670208|224668192|111028608|54995952|27305344|13590720,22|21|22|23|18|17|20|17|20|19|26|21|26|25
13,6|6|6|4|2|2,0,0|2|4|6,4,12,16,4,216548812480|106608646144|52543867376|25928858592|12812055984|6339744320|3141840338|1559529524|775408312|386201648|192685892|96299896|48206928|24168144,12|23|12|15|12|17|12|15|14|17|16|19|20|21
13,6|6|6|3|3|1|1,0,0|2,2,6,7,1,290020731000|144564179760|72078396390|35952341880|17942904252|8961246320|4479404995|2241358770|1122785720|563142468|282809835|142203600|71581950|36061740,6|9|6|11|8|13|10|13|14|13|12|21|14|17
13,6|6|5|5|2|2,0,0|2|4|6,4,12,16,4,198871358400|98517811392|48870918096|24277543056|12078194544|6018166960|3003372294|1501239702|751616152|376924968|189337500|95271132|48025296|24257376,12|13|12|13|12|13|12|13|14|15|16|17|20|23
13,6|6|5|4|3|2,1,3|5,2,11,13,2,556839803520|278419901760|139380665424|69861047256|35058909600|17615512200|8861979984|4463875416|2251377632|1136974104|574951608|291141708|147633552|74970324,14|13|12|11|14|11|18|17|18|15|18|17|20|17
13,6|6|5|4|2|2|1,1,3|5,2,15,17,2,883872704000|447375568640|226481295040|114685103520|58094584704|29441420320|14928527120|7574435480|3845896320|1954323616|993993760|506052800|257912160|131600040,18|17|16|15|18|15|18|17|22|19|22|25|22|19
13,6|6|5|4|1|1|1|1|1,1,3|5,2,13,15,2,305955936000|158626385280|82047012960|42354524880|21829853952|11237399280|5779374480|2970424980|1526121760|783955656|402731280|206940360|106381440|54723240,16|15|14|13|20|13|18|15|18|15|20|19|26|19
13,6|6|5|3|3|1|1|1,0,0|2,2,6,7,1,736206471000|378296863560|194212416090|99633616830|51084576972|26181672220|13415182605|6873135885|3521591360|1804732524|925200405|474523995|243509310|125032050,6|7|6|7|8|9|10|11|20|13|12|13|14|15
13,6|6|5|2|2|2|1|1|1,1,3|5|7|9,4,19,24,5,489529497600|258320950272|135941304576|71359454592|37373518080|19534387840|10192388640|5310231600|2763337920|1436664096|746421120|387620112|201221856|104422032,22|21|20|19|20|19|20|19|20|19|26|21|22|21
13,6|6|4|4|4|2,0,0|2|4|6,4,12,16,4,198871358400|100353547008|50706653712|25653135456|12993643728|6588857600|3344689062|1699620948|864553904|440230032|224404560|114519504|58515336|29940768,12|17|12|15|12|21|12|15|16|17|20|21|18|23
13,6|6|4|4|3|3,0,0|2|4|6,4,12,16,4,216548812480|109940166336|55875387568|28425617584|14474053776|7376205200|3761988594|1920135210|980787248|501369344|256511472|131360768|67344200|34570536,12|13|12|13|12|13|12|13|16|27|20|35|18|19
13,6|6|4|4|3|2|1,1,3|5,2,11,13,2,928066339200|475455524544|243640693296|124880913768|64024732512|32832739160|16841498024|8641345356|4435371808|2277499560|1170068040|601519908|309497232|159418116,14|13|12|11|14|11|16|15|18|15|18|17|20|17
13,6|6|4|4|2|2|2,0,0|2|4|6,4,12,16,4,451980360000|233639078400|120734686800|62370266400|32209866000|16629537600|8583660150|4429906380|2286039000|1179744720|608933700|314419800|162447000|84006000,12|19|12|15|12|17|12|15|14|17|16|19|18|21
13,6|6|4|4|2|2|1|1,0,0|2|4|6,4,12,16,4,916168052800|476407387456|247487938544|128452546992|66617188176|34524539280|17881868466|9257429874|4790881592|2478857192|1282550780|663708892|343618968|178041864,12|13|12|13|12|13|12|13|14|15|16|17|18|19
13,6|6|4|4|2|1|1|1|1,0,0|2|4|6,4,12,16,4,654405752000|344318103360|180760438320|94708483760|49535752464|25869524560|13492376370|7029216810|3658751600|1903093528|989445240|514335360|267402520|139098960,12|13|12|13|12|13|12|13|16|15|18|27|18|21
13,6|6|4|4|1|1|1|1|1|1,0,0|2|4|6,4,12,16,4,198871358400|106472665728|56781430992|30175962336|15987263760|8447050560|4452494046|2342126484|1229881152|644910072|337802040|176811624|92518536|48422088,12|15|12|15|12|17|12|15|20|15|18|19|18|19
13,6|6|4|3|2|2|2|1,1,5|7,2,19,23,4,979058995200|516641900544|272226425856|143230169088|75251950848|39482710400|20689053504|10828533936|5661853568|2957927616|1544379840|806077008|420723072|219675456,24|23|24|29|20|19|22|19|22|21|24|21|26|25
13,6|6|4|3|2|2|1|1|1,0,0|2|4|6,4,12,16,4,1177930353600|627021388224|332959020240|176403039120|93259123056|49205486000|25914645702|13625953110|7154325080|3751919640|1965802860|1029355404|538876800|282161880,12|13|12|13|12|13|12|13|14|15|16|17|26|19
13,6|6|4|3|2|1|1|1|1|1,1,5|7,2,17,22,5,707098163200|381833008128|205389550080|110085015040|58809988224|31323597760|16638483264|8816646600|4661998720|2460708512|1296941760|682846032|359300480|189034560,22|21|22|23|18|17|22|17|22|19|24|21|26|25
13,6|6|4|2|2|2|2|1|1,0,0|2|4|6,4,14,18,4,495648616320|266887716480|143307099936|76738381344|40982560416|21831202080|11601505908|6151648788|3255432768|1719824400|907310268|478171188|251853624|132633072,14|15|14|15|14|15|14|15|20|17|16|17|18|21
13,6|6|4|2|2|2|1|1|1|1,0,0|2|4|6,4,12,16,4,464033169600|252719603136|137083778832|74076205008|39884987376|21403153200|11449653254|6107636598|3249777832|1725371256|914378760|483915960|255870120|135237960,12|13|12|13|12|13|12|13|14|15|18|19|18|19
13,6|6|4|1|1|1|1|1|1|1|1|1|1,0,0|2|4|6,4,12,16,4,14297940800|8314802496|4790049264|2734866992|1548333072|869703120|484979066|268661514|147951832|81056024|44211240|24027432|13021448|7042464,12|13|12|13|12|13|12|13|14|15|18|19|18|23
13,6|6|3|3|3|2|1|1|1,1,3|5,2,11,13,2,560919216000|301170471360|161337750640|86236852680|45994478112|24479458520|13002229680|6892939020|3647807200|1927508928|1017249960|536410820|282767760|149111820,14|13|12|11|14|11|18|15|18|21|18|17|20|17
13,6|6|3|3|2|2|2|1|1,0,0|2|4|6,4,12,16,4,535422888000|289952087040|156609702480|84366721440|45330587856|24294024640|12987670350|6926943660|3686461240|1958143824|1038469320|550112640|291254040|154234080,12|21|12|15|12|17|12|15|14|17|18|27|18|23
13,6|6|3|3|2|2|1|1|1|1,0,0|2|4|6,4,14,18,4,486129987200|266249654528|145269947680|78972104640|42780387936|23096993920|12430307604|6669824040|3569143520|1905328528|1015097980|540010064|287035320|152569560,14|17|14|17|14|19|14|17|18|17|16|21|18|19
13,6|6|3|2|2|2|2|2|1,1,3|5,2,15,17,2,203970624000|112026942720|61337855040|33476701920|18211396608|9874874720|5337450400|2876103960|1545367040|828214464|442908720|236472720|126139200|67284360,18|17|16|15|24|15|20|17|26|21|20|21|24|19
13,6|6|3|2|2|2|2|1|1|1,0,0|2|4|6,4,12,16,4,278419901760|154201791744|85062401424|46736280864|25577617104|13944156096|7573684638|4099079628|2211269928|1189388928|638162028|341759352|182819472|97781112,12|17|12|15|12|17|12|15|14|23|16|19|20|19
13,6|6|3|2|2|2|1|1|1|1|1,1,3|5,2,9,11,2,216548812480|121600487008|67915936088|37734615828|20860218288|11476148684|6284548088|3426694208|1861019328|1007136368|543403784|292515916|157231536|84480396,12|11|10|9|12|9|16|23|20|17|18|17|20|17
13,6|6|3|2|1|1|1|1|1|1|1|1|1,1,3|5,2,11,13,2,34994960000|20512430400|11916427600|6863411800|3920692320|2222261000|1250367800|698741400|388050880|214315640|117805800|64513900|35239600|19227780,14|13|12|11|14|11|16|17|20|15|18|17|20|17
13,6|6|3|1|1|1|1|1|1|1|1|1|1|1,0,0|2|4|6,4,12,16,4,5814952000|3506863360|2092410320|1235513760|722224464|418125760|239869630|136439980|77004760|43158976|24045880|13333760|7369560|4066920,12|17|12|15|12|17|12|15|14|21|18|29|18|19
13,6|5|5|5|3|1|1,0,0|2,2,6,7,1,297754617160|151167728712|76828657906|39091690638|19914382488|10157455308|5187325143|2652393513|1357861708|695948120|357090783|183415925|94304364|48534486,6|7|6|7|10|9|10|11|12|15|12|13|16|15
13,6|5|5|5|2|1|1|1,1,5|9,2,21,23,2,304596131840|156984160256|80886063104|41674421248|21474465280|11068717312|5707490752|2944436992|1519814912|784912576|405599872|209712448|108496256|56170400,26|25|30|25|22|21|22|27|24|21|26|25|26|23
13,6|5|5|4|4|1|1,0,0|2,2,8,9,1,303831242000|155187649760|79351778220|40620454160|20817392024|10680658560|5485922585|2820754310|1451857720|747999088|385714990|199059960|102803140|53121640,8|11|8|13|10|19|10|13|14|17|14|19|16|19
13,6|5|5|4|3|1|1|1,0,0|2,2,6,7,1,780825045000|406029023400|211083907650|109724860350|57036661920|29651065500|15416749180|8017377340|4170339740|2169775440|1129169475|587750625|305982600|159309150,6|7|6|7|14|9|14|15|12|17|12|13|18|15
13,6|5|5|3|3|3|1,0,0|2,2,8,9,1,425363738800|221189144176|115075828868|59896232396|31188213056|16245778120|8465171143|4412290729|2300455388|1199695448|625773470|326456746|170317048|88850476,8|9|8|9|16|11|10|11|12|15|14|15|18|17
13,6|5|5|3|3|2|2,0,0|2,2,6,7,1,568440632760|297338177136|155544875486|81373697496|42572134332|22272771248|11652746742|6096590388|3189697336|1668829260|873101103|456759688|238917294|124936812,6|9|6|11|8|13|12|15|14|13|12|19|14|17
13,6|5|5|3|3|2|1|1,0,0|2,2,6,7,1,1084231348200|570472493976|299994847614|157682046330|82844214156|43508585700|22842356967|11988876123|6290755380|3300073812|1730782755|907505181|475681734|249227550,6|7|6|7|8|9|10|11|12|13|12|13|14|15
13,6|5|5|3|3|1|1|1|1,0,0|2,2,6,7,1,621472995000|330814855800|175793024550|93273856650|49424024520|26158086500|13830109800|7305526380|3855935040|2033744400|1071951525|564642375|297219780|156331890,6|7|6|7|10|9|16|15|20|17|12|13|16|15
13,6|5|5|3|1|1|1|1|1|1|1,0,0|2,2,4,5,1,170379211860|94363871184|51997000275|28519135128|15576629508|8475647598|4596269832|2485009098|1339923276|720743508|386834778|207195516|110758428|59088744,4|9|4|11|8|7|16|13|12|13|14|17|16|19
13,6|5|5|2|2|2|2|2,0,0|2,2,10,11,1,174904810080|94179513120|50628800376|27171666984|14558654208|7788171328|4159993180|2218874056|1181945464|628817784|334150026|177359490|94024392|49777728,10|11|10|11|20|17|14|17|14|15|14|15|18|25
13,6|5|5|2|2|1|1|1|1|1|1,0,0|2,2,4,5,1,204501797500|113891770300|63108297175|34805276825|19113060560|10454422550|5697807665|3095277185|1676526880|905647820|488023025|262369415|140731360|75305230,4|5|4|5|12|7|10|11|18|13|12|13|22|15
13,6|5|5|2|1|1|1|1|1|1|1|1,0,0|2,2,6,7,1,67557770280|38455961544|21739744026|12211192422|6818495112|3786692052|2092586067|1151228925|630789684|344365812|187371837|101631651|54957276|29624166,6|7|6|7|10|9|10|11|12|13|12|13|16|15
13,6|5|4|4|4|3,1,5|7,2,17,21,4,141419632640|72885502976|37625189888|19452186624|10070556288|5220060352|2708796896|1407017048|731458304|380535424|198092032|103171552|53756736|28018848,22|21|22|29|18|17|20|17|24|23|28|23|24|23
13,6|5|4|4|2|2|2|1,1,5|7,2,17,21,4,865329920000|461953049600|246430912000|131362291200|69972032640|37244139200|19809455840|10528559720|5591736640|2967593440|1573768000|833980640|441625920|233694240,22|21|22|23|18|17|20|17|20|19|24|23|24|23
13,6|5|4|4|2|2|1|1|1,0,0|2|4|6,4,12,16,4,1020872973120|549700831680|295506875664|158615982096|85017826608|45508889712|24329833814|12991711502|6929474496|3691977576|1964979744|1044750168|554932224|294486192,12|13|12|13|12|13|12|13|20|15|22|19|34|21
13,6|5|4|4|2|1|1|1|1|1,1,5|7,2,19,24,5,587435397120|320830101504|174691630080|94857689088|51378819840|27765222528|14972871168|8058705360|4329524736|2322091584|1243441728|664841232|354974400|189281664,24|23|24|27|20|19|28|19|26|21|24|21|24|27
13,6|5|4|3|3|3|1|1,1,5|9,2,19,21,2,761490329600|406518683648|216935606272|115716067840|61694400256|32874857600|17507577760|9317775040|4955695360|2633831200|1398780160|742299008|393612032|208551200,24|23|26|23|20|19|20|23|24|19|28|27|28|23
13,6|5|4|3|2|2|2|1|1,1,5|7,2,17,21,4,1272776693760|695131886592|378924209664|206163509760|111957595776|60686062528|32834621664|17733682152|9561092416|5146083936|2765202048|1483467216|794604096|424977696,22|21|22|23|18|17|20|17|20|19|26|21|24|23
13,6|5|4|3|2|2|1|1|1|1,1,5|7,2,17,22,5,1142235494400|630865449984|347369476608|190716068352|104420288640|57021835200|31060551616|16878683752|9151164288|4950702624|2672711040|1440030240|774396480|415683840,22|21|22|23|18|17|22|17|22|19|26|23|24|29
13,6|5|4|2|2|2|2|1|1|1,1,5|7,2,17,21,4,519197952000|289952087040|161402841600|89558545920|49537943424|27317040960|15018592480|8233128120|4500749120|2453781792|1334338560|723804720|391691520|211479840,22|21|22|23|18|17|20|17|20|19|32|21|28|23
13,6|5|4|2|2|1|1|1|1|1|1|1,1,5|9,2,21,23,2,197091614720|113706700800|65191841792|37155959808|21058515456|11872011008|6659606976|3718161216|2066745856|1144048192|630830208|346573216|189750528|103550304,26|25|28|25|22|21|22|23|26|21|26|23|28|23
13,6|5|4|1|1|1|1|1|1|1|1|1|1|1,1,5|7,2,17,21,4,9194465280|5587405824|3362591232|2004727296|1184446848|693805632|403108576|232423576|133054656|75663840|42762432|24029280|13430208|7468032,22|21|22|23|18|17|20|17|20|19|24|23|24|33
13,6|5|3|3|3|2|2|2,0,0|2,2,6,7,1,334639305000|183279373200|100268680050|54785903400|29892928860|16286040000|8858664300|4810527750|2607736740|1411128180|762251625|411028200|221266650|118927380,6|9|6|11|8|17|14|13|12|13|12|19|14|17
13,6|5|3|3|3|1|1|1|1|1|1,0,0|2,2,4,5,1,241683942500|136830293600|77136784725|43308905900|24221871830|13496473250|7493313620|4145932910|2286217360|1256649100|688608550|376238940|205009420|111431320,4|11|4|9|6|7|14|13|16|13|14|17|16|19
13,6|5|3|3|2|2|2|1|1|1,1,5|7|9|11,4,23,28,5,609192263680|342084886528|191518638080|106901692416|59491335168|33008020992|18259382656|10070764480|5538141952|3036795776|1660555712|905585824|492624000|267366528,28|27|34|31|24|23|24|23|24|23|24|23|26|27
13,6|5|2|2|2|2|2|2|1|1|1,0,0|2,2,4,5,1,63804560820|37301127864|21712756065|12582437868|7257920670|4166848972|2380758094|1353680020|765973348|431360328|241803849|134956668|75023850|41563236,4|7|4|9|6|9|12|15|12|15|12|17|14|17
13,6|5|2|2|1|1|1|1|1|1|1|1|1|1|1,0,0|2,2,6,7,1,4461857400|2828131152|1774247398|1101753000|677255724|412175320|248402793|148281252|87702720|51418416|29897565|17252884|9889506|5637060,6|9|6|11|8|11|10|15|20|17|12|17|14|17
13,6|4|4|4|3|3|1|1,0,0|8,2,14,20,6,366467221120|197328503680|106263237696|57224788544|30814488320|16590131712|8929279128|4803914808|2582973288|1387764728|744903824|399374976|213823456|114290176,14|15|16|17|20|23|16|17|14|15|20|27|22|31
13,6|4|4|4|3|2|1|1|1,1,3|5|7|9,4,17,22,5,636388346880|347565943296|189621734016|103345384896|56266614144|30602747968|16626539280|9022887528|4890468192|2647060272|1430608896|771870000|415663776|223361424,20|19|18|17|18|17|18|17|18|17|32|21|22|21
