n,lam,d,cand,Lzero,Rzero,shift_c,ratio_re,ratio_im
5,3|1|1,2,princN3,0,0,0,1.0,0.0
5,3|1|1,2,princN4,0,1,,,
5,3|1|1,2,princN5,0,0,,0.333333,0.0
5,3|1|1,2,fakedeg,0,0,0,1.0,0.0
5,3|1|1,3,princN3,0,1,,,
5,3|1|1,3,princN4,0,1,,,
5,3|1|1,3,princN5,0,1,,,
5,3|1|1,3,fakedeg,0,1,,,
5,3|1|1,4,princN3,0,1,,,
5,3|1|1,4,princN4,0,1,,,
5,3|1|1,4,princN5,0,1,,,
5,3|1|1,4,fakedeg,0,1,,,
5,2|2|1,2,princN2,0,1,,,
5,2|2|1,2,princN3,0,0,0,1.0,-0.0
5,2|2|1,2,princN4,0,1,,,
5,2|2|1,2,princN5,0,0,,0.333333,-0.0
5,2|2|1,2,fakedeg,0,0,0,1.0,-0.0
5,2|2|1,3,princN2,0,1,,,
5,2|2|1,3,princN3,0,1,,,
5,2|2|1,3,princN4,0,0,,-0.5,-2.598076
5,2|2|1,3,princN5,0,1,,,
5,2|2|1,3,fakedeg,0,0,,-0.5,-2.598076
5,2|2|1,4,princN2,0,1,,,
5,2|2|1,4,princN3,0,0,,-2.0,1.0
5,2|2|1,4,princN4,0,1,,,
5,2|2|1,4,princN5,0,0,,-1.0,-2.0
5,2|2|1,4,fakedeg,0,0,,-1.0,-2.0
5,2|1|1|1,2,princN2,1,1,0,,
5,2|1|1|1,2,princN4,1,1,0,,
5,2|1|1|1,2,princN5,1,1,0,,
5,2|1|1|1,2,fakedeg,1,1,0,,
5,2|1|1|1,3,princN2,0,1,,,
5,2|1|1|1,3,princN4,0,0,,-0.5,2.598076
5,2|1|1|1,3,princN5,0,1,,,
5,2|1|1|1,3,fakedeg,0,0,,-0.5,2.598076
5,2|1|1|1,4,princN2,0,1,,,
5,2|1|1|1,4,princN4,0,1,,,
5,2|1|1|1,4,princN5,0,1,,,
5,2|1|1|1,4,fakedeg,0,1,,,
5,1|1|1|1|1,2,princN1,0,1,,,
5,1|1|1|1|1,2,princN5,0,0,0,1.0,0.0
5,1|1|1|1|1,2,princN6,0,1,,,
5,1|1|1|1|1,2,fakedeg,0,0,0,1.0,0.0
5,1|1|1|1|1,3,princN1,0,1,,,
5,1|1|1|1|1,3,princN5,0,0,0,1.0,0.0
5,1|1|1|1|1,3,princN6,0,1,,,
5,1|1|1|1|1,3,fakedeg,0,0,0,1.0,0.0
5,1|1|1|1|1,4,princN1,0,1,,,
5,1|1|1|1|1,4,princN5,0,0,0,1.0,0.0
5,1|1|1|1|1,4,princN6,0,0,,0.5,-0.5
5,1|1|1|1|1,4,fakedeg,0,0,0,1.0,0.0
6,6,2,princN1,0,0,0,1.0,0.0
6,6,2,princN2,0,0,0,1.0,0.0
6,6,2,princN6,0,0,,0.1,0.0
6,6,2,fakedeg,0,0,0,1.0,0.0
6,6,3,princN1,0,0,0,1.0,0.0
6,6,3,princN2,0,0,0,1.0,0.0
6,6,3,princN6,0,0,,0.333333,0.0
6,6,3,fakedeg,0,0,0,1.0,0.0
6,6,4,princN1,0,0,0,1.0,0.0
6,6,4,princN2,0,0,3,0.0,-1.0
6,6,4,princN6,0,0,,-0.0,-0.5
6,6,4,fakedeg,0,0,0,1.0,0.0
6,5|1,2,princN2,0,0,0,1.0,-0.0
6,5|1,2,princN3,0,0,0,1.0,-0.0
6,5|1,2,princN5,0,0,,0.25,-0.0
6,5|1,2,princN6,0,0,,0.1,-0.0
6,5|1,2,fakedeg,0,0,0,1.0,-0.0
6,5|1,3,princN2,0,0,,-2.0,0.0
6,5|1,3,princN3,0,0,,-2.0,0.0
6,5|1,3,princN5,0,0,,-0.666667,0.0
6,5|1,3,princN6,0,0,,-0.666667,-0.0
6,5|1,3,fakedeg,0,0,,-2.0,0.0
6,5|1,4,princN2,0,0,,3.0,-2.0
6,5|1,4,princN3,0,0,,-2.0,-3.0
6,5|1,4,princN5,0,1,,,
6,5|1,4,princN6,0,0,,1.5,-1.0
6,5|1,4,fakedeg,0,0,,3.0,-2.0
6,4|2,2,princN2,0,0,,3.0,-0.0
6,4|2,2,princN3,0,0,0,1.0,0.0
6,4|2,2,princN4,0,0,,0.5,0.0
6,4|2,2,princN6,0,0,,0.166667,0.0
6,4|2,2,fakedeg,0,0,0,1.0,-0.0
6,4|2,3,princN2,0,1,,,
6,4|2,3,princN3,0,1,,,
6,4|2,3,princN4,0,1,,,
6,4|2,3,princN6,0,1,,,
6,4|2,3,fakedeg,0,1,,,
6,4|2,4,princN2,0,0,,-3.0,0.0
6,4|2,4,princN3,0,0,,-0.0,3.0
6,4|2,4,princN4,0,1,,,
