m,lam,j,Mj,v2Mj,v2binom,val,f,v2f,jbits,mbits,in_Jstar,core4,quot4,quotsize
8,6|4|3|1|1|1,0,819000,3,0,6,819000,3,0,1000,1,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,1,402675,0,3,7,819000,3,1,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,2,195975,0,2,6,819000,3,10,1000,1,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,3,94500,2,3,13,819000,3,11,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,4,45160,3,1,12,819000,3,100,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,5,21375,0,3,11,819000,3,101,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,6,10005,0,2,10,819000,3,110,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,7,4620,2,3,17,819000,3,111,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|3|1|1|1,8,2100,2,0,12,819000,3,1000,1000,0,2|2,;1;2;,0|1|2|0
8,6|4|2|2|2,0,480480,5,0,10,480480,5,0,1000,1,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,1,236236,2,3,11,480480,5,1,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,2,115368,3,2,12,480480,5,10,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,3,55866,1,3,11,480480,5,11,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,4,26796,2,1,10,480480,5,100,1000,1,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,5,12720,4,3,19,480480,5,101,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,6,5970,1,2,12,480480,5,110,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,7,2765,0,3,13,480480,5,111,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|2,8,1260,2,0,12,480480,5,1000,1000,0,3|3|1|1,;1;;1,0|1|0|1
8,6|4|2|2|1|1,0,928746,1,0,2,928746,1,0,1000,1,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,1,464373,0,3,7,928746,1,1,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,2,229635,0,2,6,928746,1,10,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,3,112266,1,3,11,928746,1,11,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,4,54243,0,1,6,928746,1,100,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,5,25893,0,3,11,928746,1,101,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,6,12204,2,2,14,928746,1,110,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,7,5670,1,3,15,928746,1,111,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|2|1|1,8,2583,0,0,8,928746,1,1000,1000,0,,;2;1|1;,0|2|2|0
8,6|4|2|1|1|1|1,0,600600,3,0,6,600600,3,0,1000,1,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,1,310310,1,3,9,600600,3,1,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,2,157410,1,2,8,600600,3,10,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,3,78480,4,3,17,600600,3,11,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,4,38492,2,1,10,600600,3,100,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,5,18585,0,3,11,600600,3,101,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,6,8835,0,2,10,600600,3,110,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,7,4130,1,3,15,600600,3,111,1000,0,,;2|1;1;,0|3|1|0
8,6|4|2|1|1|1|1,8,1890,1,0,10,600600,3,1000,1000,0,,;2|1;1;,0|3|1|0
8,6|4|1|1|1|1|1|1,0,155232,5,0,10,155232,5,0,1000,1,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,1,84084,2,3,11,155232,5,1,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,2,44352,6,2,18,155232,5,10,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,3,22806,1,3,11,155232,5,11,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,4,11452,2,1,10,155232,5,100,1000,1,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,5,5628,2,3,15,155232,5,101,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,6,2712,3,2,16,155232,5,110,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,7,1281,0,3,13,155232,5,111,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|4|1|1|1|1|1|1,8,588,2,0,12,155232,5,1000,1000,0,3|3|1|1,1;1;;,1|1|0|0
8,6|3|3|3|1,0,360360,3,0,6,360360,3,0,1000,1,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,1,177177,0,3,7,360360,3,1,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,2,86823,0,2,6,360360,3,10,1000,1,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,3,42309,0,3,9,360360,3,11,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,4,20438,1,1,8,360360,3,100,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,5,9750,1,3,13,360360,3,101,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,6,4572,2,2,14,360360,3,110,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,7,2093,0,3,13,360360,3,111,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|3|1,8,924,2,0,12,360360,3,1000,1000,0,2|2,;1|1;;1,0|2|0|1
8,6|3|3|2|2,0,448448,6,0,12,448448,6,0,1000,1,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,1,224224,5,3,17,448448,6,1,1000,0,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,2,111496,3,2,12,448448,6,10,1000,1,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,3,54992,4,3,17,448448,6,11,1000,0,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,4,26824,3,1,12,448448,6,100,1000,1,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,5,12892,2,3,15,448448,6,101,1000,0,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,6,6074,1,2,12,448448,6,110,1000,1,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,7,2786,1,3,15,448448,6,111,1000,0,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|2,8,1232,4,0,16,448448,6,1000,1000,0,6|3|1|1|1,1;;;,1|0|0|0
8,6|3|3|2|1|1,0,819000,3,0,6,819000,3,0,1000,1,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,1,416325,0,3,7,819000,3,1,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,2,209625,0,2,6,819000,3,10,1000,1,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,3,104400,4,3,17,819000,3,11,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,4,51310,1,1,8,819000,3,100,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,5,24800,5,3,21,819000,3,101,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,6,11730,1,2,12,819000,3,110,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,7,5390,1,3,15,819000,3,111,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|2|1|1,8,2380,2,0,12,819000,3,1000,1000,0,2|2,;1|1;1;,0|2|1|0
8,6|3|3|1|1|1|1,0,429000,3,0,6,429000,3,0,1000,1,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,1,225225,0,3,7,429000,3,1,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,2,116325,0,2,6,429000,3,10,1000,1,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,3,59100,2,3,13,429000,3,11,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,4,29500,2,1,10,429000,3,100,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,5,14425,0,3,11,429000,3,101,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,6,6875,0,2,10,429000,3,110,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,7,3170,1,3,15,429000,3,111,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|3|1|1|1|1,8,1400,3,0,14,429000,3,1000,1000,0,2|2,;1|1|1;;,0|3|0|0
8,6|3|2|2|2|1,0,559104,11,0,22,559104,11,0,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,1,291200,7,3,21,559104,11,1,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,2,150016,9,2,24,559104,11,10,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,3,76224,6,3,21,559104,11,11,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,4,38080,6,1,18,559104,11,100,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,5,18632,3,3,17,559104,11,101,1000,1,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,6,8880,4,2,18,559104,11,110,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,7,4088,3,3,19,559104,11,111,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|2|1,8,1792,8,0,24,559104,11,1000,1000,0,6|3|2|1,;;1;,0|0|1|0
8,6|3|2|2|1|1|1,0,630630,1,0,2,630630,1,0,1000,1,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,1,336336,4,3,15,630630,1,1,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,2,176484,2,2,10,630630,1,10,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,3,90972,2,3,13,630630,1,11,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,4,45955,0,1,6,630630,1,100,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,5,22670,1,3,13,630630,1,101,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,6,10863,0,2,10,630630,1,110,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,7,5012,2,3,17,630630,1,111,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|2|1|1|1,8,2191,0,0,8,630630,1,1000,1000,0,,;2|2;;,0|4|0|0
8,6|3|2|1|1|1|1|1,0,337920,11,0,22,337920,11,0,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,1,187264,7,3,21,337920,11,1,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,2,101376,10,2,26,337920,11,10,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,3,53568,6,3,21,337920,11,11,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,4,27584,6,1,18,337920,11,100,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,5,13800,3,3,17,337920,11,101,1000,1,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,6,6672,4,2,18,337920,11,110,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,7,3088,4,3,21,337920,11,111,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|2|1|1|1|1|1,8,1344,6,0,20,337920,11,1000,1000,0,6|3|2|1,1;;;,1|0|0|0
8,6|3|1|1|1|1|1|1|1,0,82368,6,0,12,82368,6,0,1000,1,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,1,48048,4,3,15,82368,6,1,1000,0,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,2,27192,3,2,12,82368,6,10,1000,1,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,3,14904,3,3,15,82368,6,11,1000,0,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,4,7896,3,1,12,82368,6,100,1000,1,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,5,4032,6,3,23,82368,6,101,1000,0,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,6,1974,1,2,12,82368,6,110,1000,1,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,7,916,2,3,17,82368,6,111,1000,0,6|3|1|1|1,;;;1,0|0|0|1
8,6|3|1|1|1|1|1|1|1,8,392,3,0,14,82368,6,1000,1000,0,6|3|1|1|1,;;;1,0|0|0|1
8,6|2|2|2|2|2,0,91728,4,0,8,91728,4,0,1000,1,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,1,49686,1,3,9,91728,4,1,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,2,26586,1,2,8,91728,4,10,1000,1,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,3,13986,1,3,11,91728,4,11,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,4,7196,2,1,10,91728,4,100,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,5,3597,0,3,11,91728,4,101,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,6,1731,0,2,10,91728,4,110,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,7,791,0,3,13,91728,4,111,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|2,8,336,4,0,16,91728,4,1000,1000,0,2|2,;1;1;1,0|1|1|1
8,6|2|2|2|2|1|1,0,200200,3,0,6,200200,3,0,1000,1,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,1,110110,1,3,9,200200,3,1,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,2,59620,2,2,10,200200,3,10,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,3,31660,2,3,13,200200,3,11,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,4,16408,3,1,12,200200,3,100,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,5,8245,0,3,11,200200,3,101,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,6,3980,2,2,14,200200,3,110,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,7,1820,2,3,17,200200,3,111,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|2|1|1,8,770,1,0,10,200200,3,1000,1000,0,,1;2|1;;,1|3|0|0
8,6|2|2|2|1|1|1|1,0,173250,1,0,2,173250,1,0,1000,1,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,1,98175,0,3,7,173250,1,1,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,2,54450,1,2,8,173250,1,10,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,3,29475,0,3,9,173250,1,11,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,4,15505,0,1,6,173250,1,100,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,5,7875,0,3,11,173250,1,101,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,6,3825,0,2,10,173250,1,110,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,7,1750,1,3,15,173250,1,111,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|2|1|1|1|1,8,735,0,0,8,173250,1,1000,1000,0,,1|1;2;;,2|2|0|0
8,6|2|2|1|1|1|1|1|1,0,85800,3,0,6,85800,3,0,1000,1,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,1,50765,0,3,7,85800,3,1,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,2,29205,0,2,6,85800,3,10,1000,1,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,3,16290,1,3,11,85800,3,11,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,4,8772,2,1,10,85800,3,100,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,5,4530,1,3,13,85800,3,101,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,6,2220,2,2,14,85800,3,110,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,7,1015,0,3,13,85800,3,111,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|2|1|1|1|1|1|1,8,420,2,0,12,85800,3,1000,1000,0,2|2,;1;;1|1,0|1|0|2
8,6|2|1|1|1|1|1|1|1|1,0,24024,3,0,6,24024,3,0,1000,1,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,1,15015,0,3,7,24024,3,1,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,2,9075,0,2,6,24024,3,10,1000,1,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,3,5280,5,3,19,24024,3,11,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,4,2940,2,1,10,24024,3,100,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,5,1554,1,3,13,24024,3,101,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,6,770,1,2,12,24024,3,110,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,7,350,1,3,15,24024,3,111,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|2|1|1|1|1|1|1|1|1,8,140,2,0,12,24024,3,1000,1000,0,2|2,;1;1|1;,0|1|2|0
8,6|1|1|1|1|1|1|1|1|1|1,0,3003,0,0,0,3003,0,0,1000,1,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,1,2002,1,3,9,3003,0,1,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,2,1287,0,2,6,3003,0,10,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,3,792,3,3,15,3003,0,11,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,4,462,1,1,8,3003,0,100,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,5,252,2,3,15,3003,0,101,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,6,126,1,2,12,3003,0,110,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,7,56,3,3,19,3003,0,111,1000,0,,;2|1|1;;,0|4|0|0
8,6|1|1|1|1|1|1|1|1|1|1,8,21,0,0,8,3003,0,1000,1000,0,,;2|1|1;;,0|4|0|0
8,5|5|5|1,0,60060,2,0,4,60060,2,0,1000,1,,2;;1;1,2|0|1|1
8,5|5|5|1,1,27027,0,3,7,60060,2,1,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,2,12276,2,2,10,60060,2,10,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,3,5637,0,3,9,60060,2,11,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,4,2619,0,1,6,60060,2,100,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,5,1230,1,3,13,60060,2,101,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,6,581,0,2,10,60060,2,110,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,7,273,0,3,13,60060,2,111,1000,0,,2;;1;1,2|0|1|1
8,5|5|5|1,8,126,1,0,10,60060,2,1000,1000,0,,2;;1;1,2|0|1|1
8,5|5|4|2,0,231660,2,0,4,231660,2,0,1000,1,,2;1;;1,2|1|0|1
8,5|5|4|2,1,108108,2,3,11,231660,2,1,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,2,50787,0,2,6,231660,2,10,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,3,24030,1,3,11,231660,2,11,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,4,11457,0,1,6,231660,2,100,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,5,5505,0,3,11,231660,2,101,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,6,2664,3,2,16,231660,2,110,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,7,1296,4,3,21,231660,2,111,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|2,8,630,1,0,10,231660,2,1000,1000,0,,2;1;;1,2|1|0|1
8,5|5|4|1|1,0,280280,3,0,6,280280,3,0,1000,1,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,1,133133,0,3,7,280280,3,1,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,2,63371,0,2,6,280280,3,10,1000,1,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,3,30289,0,3,9,280280,3,11,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,4,14560,5,1,16,280280,3,100,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,5,7045,0,3,11,280280,3,101,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,6,3429,0,2,10,280280,3,110,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,7,1673,0,3,13,280280,3,111,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|4|1|1,8,812,2,0,12,280280,3,1000,1000,0,2|2,1;;;2,1|0|0|2
8,5|5|3|3,0,171600,4,0,8,171600,4,0,1000,1,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,1,81510,1,3,9,171600,4,1,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,2,38940,2,2,10,171600,4,10,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,3,18705,0,3,9,171600,4,11,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,4,9034,1,1,8,171600,4,100,1000,1,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,5,4390,1,3,13,171600,4,101,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,6,2150,1,2,12,171600,4,110,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,7,1065,0,3,13,171600,4,111,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|3,8,540,2,0,12,171600,4,1000,1000,0,4|2|2,1|1;;;,2|0|0|0
8,5|5|3|2|1,0,640640,7,0,14,640640,7,0,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,1,312312,3,3,13,640640,7,1,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,2,152328,3,2,12,640640,7,10,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,3,74390,1,3,11,640640,7,11,1000,1,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,4,36416,6,1,18,640640,7,100,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,5,17900,2,3,15,640640,7,101,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,6,8856,3,2,16,640640,7,110,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,7,4424,3,3,19,640640,7,111,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|2|1,8,2240,6,0,20,640640,7,1000,1000,0,5|2|1,;;;2,0|0|0|2
8,5|5|3|1|1|1,0,448448,6,0,12,448448,6,0,1000,1,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,1,224224,5,3,17,448448,6,1,1000,0,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,2,111496,3,2,12,448448,6,10,1000,1,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,3,55272,3,3,15,448448,6,11,1000,0,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,4,27384,3,1,12,448448,6,100,1000,1,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,5,13596,2,3,15,448448,6,101,1000,0,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,6,6786,1,2,12,448448,6,110,1000,1,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,7,3416,3,3,19,448448,6,111,1000,0,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|3|1|1|1,8,1736,3,0,14,448448,6,1000,1000,0,5|2|2|1|1|1,;;;1,0|0|0|1
8,5|5|2|2|2,0,250250,1,0,2,250250,1,0,1000,1,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,1,125125,0,3,7,250250,1,1,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,2,62425,0,2,6,250250,1,10,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,3,31075,0,3,9,250250,1,11,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,4,15455,0,1,6,250250,1,100,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,5,7700,2,3,15,250250,1,101,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,6,3860,2,2,14,250250,1,110,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,7,1960,3,3,19,250250,1,111,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|2,8,1015,0,0,8,250250,1,1000,1000,0,,2;;;1|1,2|0|0|2
8,5|5|2|2|1|1,0,480480,5,0,10,480480,5,0,1000,1,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,1,244244,2,3,11,480480,5,1,1000,0,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,2,123376,4,2,14,480480,5,10,1000,0,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,3,62010,1,3,11,480480,5,11,1000,0,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,4,31076,2,1,10,480480,5,100,1000,1,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,5,15580,2,3,15,480480,5,101,1000,0,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,6,7854,1,2,12,480480,5,110,1000,0,4|2|2,1;;1;,1|0|1|0
8,5|5|2|2|1|1,7,4011,0,3,13,480480,5,111,1000,0,4|2|2,1;;1;,1|0|1|0
